2023-08-15 12:45:15.225349
{'time': '15.08.2023 17:21:22', 'latitude': '53.178291', 'longitude': '45.008877', 'Температура': '24.93', 'Влажность': '40.77', 'Давление': '747.49', 'Уровень CO2': 0, 'Уровень NO2': 61, 'Уровень SO2': 0, 'Уровень CO': 1392, 'Концентрация крупных частиц пыли (PM 10)': 6, 'Концентрация мелкодисперсных частиц пыли (PM 2,5)': 6, 'Концентрация ультрадисперсных частиц пыли (PM 1,0)': 4}
{'time': '15.08.2023 17:21:43', 'latitude': '53.178295', 'longitude': '45.008881', 'Температура': '24.95', 'Влажность': '40.75', 'Давление': '747.50', 'Уровень CO2': 0, 'Уровень NO2': 61, 'Уровень SO2': 0, 'Уровень CO': 1411, 'Концентрация крупных частиц пыли (PM 10)': 6, 'Концентрация мелкодисперсных частиц пыли (PM 2,5)': 6, 'Концентрация ультрадисперсных частиц пыли (PM 1,0)': 4}
{'time': '15.08.2023 17:22:03', 'latitude': '53.178299', 'longitude': '45.008881', 'Температура': '24.96', 'Влажность': '40.74', 'Давление': '747.51', 'Уровень CO2': 0, 'Уровень NO2': 61, 'Уровень SO2': 0, 'Уровень CO': 1363, 'Концентрация крупных частиц пыли (PM 10)': 6, 'Концентрация мелкодисперсных частиц пыли (PM 2,5)': 6, 'Концентрация ультрадисперсных частиц пыли (PM 1,0)': 4}
{'time': '15.08.2023 17:22:24', 'latitude': '53.178299', 'longitude': '45.008884', 'Температура': '24.97', 'Влажность': '40.72', 'Давление': '747.51', 'Уровень CO2': 0, 'Уровень NO2': 59, 'Уровень SO2': 0, 'Уровень CO': 1355, 'Концентрация крупных частиц пыли (PM 10)': 6, 'Концентрация мелкодисперсных частиц пыли (PM 2,5)': 6, 'Концентрация ультрадисперсных частиц пыли (PM 1,0)': 4}
{'time': '15.08.2023 17:22:44', 'latitude': '53.178299', 'longitude': '45.008884', 'Температура': '24.98', 'Влажность': '40.72', 'Давление': '747.52', 'Уровень CO2': 0, 'Уровень NO2': 61, 'Уровень SO2': 0, 'Уровень CO': 1345, 'Концентрация крупных частиц пыли (PM 10)': 6, 'Концентрация мелкодисперсных частиц пыли (PM 2,5)': 6, 'Концентрация ультрадисперсных частиц пыли (PM 1,0)': 4}
{'time': '15.08.2023 17:23:05', 'latitude': '53.178299', 'longitude': '45.008884', 'Температура': '24.99', 'Влажность': '40.72', 'Давление': '747.50', 'Уровень CO2': 0, 'Уровень NO2': 61, 'Уровень SO2': 0, 'Уровень CO': 1355, 'Концентрация крупных частиц пыли (PM 10)': 6, 'Концентрация мелкодисперсных частиц пыли (PM 2,5)': 6, 'Концентрация ультрадисперсных частиц пыли (PM 1,0)': 4}
{'time': '15.08.2023 17:23:25', 'latitude': '53.178299', 'longitude': '45.008884', 'Температура': '25.00', 'Влажность': '40.69', 'Давление': '747.46', 'Уровень CO2': 0, 'Уровень NO2': 61, 'Уровень SO2': 0, 'Уровень CO': 1345, 'Концентрация крупных частиц пыли (PM 10)': 6, 'Концентрация мелкодисперсных частиц пыли (PM 2,5)': 6, 'Концентрация ультрадисперсных частиц пыли (PM 1,0)': 4}
{'time': '15.08.2023 17:23:46', 'latitude': '53.178295', 'longitude': '45.008881', 'Температура': '25.01', 'Влажность': '40.69', 'Давление': '747.46', 'Уровень CO2': 0, 'Уровень NO2': 61, 'Уровень SO2': 0, 'Уровень CO': 1326, 'Концентрация крупных частиц пыли (PM 10)': 6, 'Концентрация мелкодисперсных частиц пыли (PM 2,5)': 6, 'Концентрация ультрадисперсных частиц пыли (PM 1,0)': 4}
{'time': '15.08.2023 17:24:06', 'latitude': '53.178299', 'longitude': '45.008881', 'Температура': '25.02', 'Влажность': '40.68', 'Давление': '747.47', 'Уровень CO2': 0, 'Уровень NO2': 61, 'Уровень SO2': 0, 'Уровень CO': 1345, 'Концентрация крупных частиц пыли (PM 10)': 6, 'Концентрация мелкодисперсных частиц пыли (PM 2,5)': 6, 'Концентрация ультрадисперсных частиц пыли (PM 1,0)': 4}
{'time': '15.08.2023 17:24:27', 'latitude': '53.178295', 'longitude': '45.008877', 'Температура': '25.03', 'Влажность': '40.68', 'Давление': '747.48', 'Уровень CO2': 0, 'Уровень NO2': 61, 'Уровень SO2': 0, 'Уровень CO': 1298, 'Концентрация крупных частиц пыли (PM 10)': 6, 'Концентрация мелкодисперсных частиц пыли (PM 2,5)': 6, 'Концентрация ультрадисперсных частиц пыли (PM 1,0)': 4}
